incomplete_rate,Re,Ri,EP,ERI,RI,ARI
0.0,0.6536803364879075,0.0,0.5909888449078514,0.5472114857304962,0.5472114857304962,0.0942249215684587
0.01,0.8172975814931651,0.0,0.5742799287353865,0.5172490191749697,0.5172490191749697,0.04917400516904215
0.02,0.7757623554153522,0.0,0.6153762440727437,0.5357720645617042,0.5357720645617042,0.09609033228212775
0.03,0.7726603575184017,0.0,0.5547288087718983,0.49618373767468904,0.49618373767468904,0.015391317883138663
0.04,0.7482124079915878,0.0,0.6268666245601868,0.5445675637108478,0.5445675637108478,0.11270654286649114
0.05,0.7547844374342797,0.0,0.6249936833922111,0.5433835797275943,0.5433835797275943,0.11032443491667783
0.060000000000000005,0.7049947423764459,0.0,0.6296967082338781,0.5532547755526338,0.5532547755526338,0.12575298464448106
0.06999999999999999,0.8349106203995794,0.0,0.5762826068992287,0.5204367330052204,0.5204367330052204,0.053800982111192476
0.08,0.526130389064143,0.0,0.6067951340324703,0.531253781361701,0.531253781361701,0.08625534358844815
0.09,0.78801261829653,0.0,0.646969479883239,0.567301429546158,0.567301429546158,0.1526981329276776
