incomplete_rate,Re,Ri,EP,ERI,RI,ARI
0.0,1.0,0.0,0.3155094491983485,0.6041280059906251,0.7223792378310884,0.08567471487177152
0.02,1.0,0.0,0.27312309451219513,0.1302588364446658,0.4952298557051798,0.06554826681643924
0.04,1.0,0.0,0.2703899246548974,0.13403932801762292,0.4892864867419251,0.06477242504010751
0.06,1.0,0.0,0.27089873461643116,0.1348063315963671,0.4894555183362929,0.06613002899719769
0.08,1.0,0.0,0.2704859618768436,0.13383031045469498,0.4895164060611458,0.06467119330407115
0.1,1.0,0.0,0.26939920041459986,0.13227267522487562,0.48965999203915717,0.06285730858404075
0.15,1.0,0.0,0.2693820240226867,0.13302877353946707,0.4890229428582334,0.06324542766190719
0.2,1.0,0.0,0.2670124319111783,0.13034516978587513,0.4885576515877156,0.059284213541217066
0.25,1.0,0.0,0.26544024638398506,0.1315856435832517,0.4859658338074094,0.05869158693692369
0.3,1.0,0.0,0.26532242184897764,0.1310240224793845,0.48566775658723393,0.05709449380592247
