incomplete_rate,Re,Ri,EP,ERI,RI,ARI
0,65.37%,0.00%,59.10%,54.72%,54.72%,9.42%
0.01,81.73%,0.00%,57.43%,51.72%,51.72%,4.92%
0.02,77.58%,0.00%,61.54%,53.58%,53.58%,9.61%
0.03,77.27%,0.00%,55.47%,49.62%,49.62%,1.54%
0.04,74.82%,0.00%,62.69%,54.46%,54.46%,11.27%
0.05,75.48%,0.00%,62.50%,54.34%,54.34%,11.03%
0.06,70.50%,0.00%,62.97%,55.33%,55.33%,12.58%
0.07,83.49%,0.00%,57.63%,52.04%,52.04%,5.38%
0.08,52.61%,0.00%,60.68%,53.13%,53.13%,8.63%
0.09,78.80%,0.00%,64.70%,56.73%,56.73%,15.27%
