incomplete_rate,Re,Ri,EP,ERI,RI,ARI
0.0,1.0,0.0,0.28604632942466895,0.7326265510466328,0.7326265510466328,0.04713241626851717
0.02,1.0,0.0,0.2929494742462474,0.7335989371002539,0.7335989371002539,0.052717844016073594
0.04,1.0,0.0,0.2935400241494424,0.7350320705643293,0.7350320705643293,0.051888896130898005
0.06,1.0,0.0,0.2981434890566162,0.7326747159633075,0.7326747159633075,0.05872127059612876
0.08,1.0,0.0,0.3001032791117996,0.7350829617970421,0.7350829617970421,0.058114660737664865
0.1,1.0,0.0,0.29452666778722386,0.7350820530250294,0.7350820530250294,0.052763007467510774
0.15,1.0,0.0,0.3015982794247881,0.7345422424494678,0.7345422424494678,0.06019183372138481
0.2,1.0,0.0,0.2920674408103802,0.7329373510749864,0.7329373510749864,0.05250149997537374
0.25,1.0,0.0,0.2810357302828791,0.7310952702051825,0.7310952702051825,0.04376891057637517
0.3,1.0,0.0,0.2815198618307427,0.7329228107227828,0.7329228107227828,0.04281382679240988
